team_name	PG	SG	SF	PF	C
NO	56.15	40.75	39.59	44.76	56.13
ORL	53.72	44.58	40.15	44.01	50.07
SAC	53.4	41.11	42.3	47.72	54.57
SA	52.66	40.56	40.12	39.29	52.16
LAC	52.51	40.75	37.36	38.33	56.24
CLE	52.47	39.91	41.45	46.37	57.58
BOS	51.31	40.74	38.3	39.68	49.09
CHA	50.89	44.62	44.11	46.16	50.38
HOU	50.57	46.07	43.32	48.66	55.71
PHI	50.19	43.91	33.02	40.68	44.1
IND	50.14	36.4	35.29	47.73	55.3
LAL	50.11	41.38	38.54	37.85	46.47
ATL	49.65	39.73	41.89	43.35	51.02
POR	49.58	42.61	36.89	40.56	57.82
DAL	49.29	41.86	42.69	37.46	52.06
MIN	48.58	43.09	44.95	49.08	50.99
MIL	47.41	41.41	41.36	43.36	53.88
TOR	47.38	41.91	41.33	49.02	54.41
WAS	45.92	43.17	46.02	44.04	60.63
OKC	45.64	39.25	37.43	50.69	51.6
UTH	45.56	35.79	41.18	42.53	52.8
PHO	45.27	35.45	39.84	44.51	49.68
MEM	45.16	41.7	45.68	41.52	48.28
DET	44.95	40.26	40.17	50.02	52.55
DEN	44.85	37.67	40.94	45.57	46.89
MIA	44.76	37.88	33.33	44.1	50.5
GS	44.38	42.81	44.16	44.2	55.35
BKN	44.17	40.36	44.26	39.67	55.92
NY	42.79	39.99	40.61	41.6	51.89
CHI	42.15	41.08	39.39	45.08	61.05
