Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
C	Joel Embiid	49.45	$10,500.00	PHI	CHA	51.1	4.87	46.7	4.45	25	29.7	48.9	4.66	52.50
C	Andre Drummond	52.16	$10,000.00	CLE	ATL	45.7	4.57	42.9	4.29	24	31	44.3	4.43	50.00
PG	Trae Young	45.92	$9,700.00	ATL	CLE	48.2	4.97	48.4	4.99	30	34.8	48.3	4.98	48.50
PF	Domantas Sabonis	46.80	$9,400.00	IND	NY	45.5	4.84	48	5.11	21	23.8	46.75	4.97	47.00
SF	Brandon Ingram	40.80	$9,000.00	NO	TOR	36.1	4.01	39	4.33	11	29	37.55	4.17	45.00
PG	Ben Simmons	40.08	$8,600.00	PHI	CHA	39.5	4.59	39.7	4.62	28	21.4	39.6	4.60	43.00
C	Nikola Vucevic	41.64	$8,400.00	ORL	OKC	39.9	4.75	40.7	4.85	17	24.7	40.3	4.80	42.00
SG	Shai Gilgeous-Alexander	35.67	$8,200.00	OKC	ORL	40.8	4.98	42.3	5.16	15	27.8	41.55	5.07	41.00
PF	Zion Williamson	34.18	$8,100.00	NO	TOR	38	4.69	37.3	4.60	8	28.5	37.65	4.65	40.50
PG	Kyle Lowry	37.17	$8,000.00	TOR	NO	38.1	4.76	39.4	4.93	23	22.9	38.75	4.84	40.00
PF	Julius Randle	43.78	$8,000.00	NY	IND	40.3	5.04	35.7	4.46	3	25.6	38	4.75	40.00
PF	Pascal Siakam	37.80	$7,800.00	TOR	NO	36.7	4.71	37.1	4.76	15	25	36.9	4.73	39.00
C	Myles Turner	38.32	$7,700.00	IND	NY	31.4	4.08	34.1	4.43	16	16.4	32.75	4.25	38.50
SF	Gordon Hayward	33.30	$7,600.00	CHA	PHI	29.3	3.86	34.3	4.51	21	24.5	31.8	4.18	38.00
SG	Fred VanVleet	36.97	$7,500.00	TOR	NO	35.5	4.73	36.5	4.87	9	22.3	36	4.80	37.50
PG	Malcolm Brogdon	36.94	$7,500.00	IND	NY	34.6	4.61	36.3	4.84	26	23.5	35.45	4.73	37.50
PG	Darius Garland	36.32	$7,500.00	CLE	ATL	29.5	3.93	30.5	4.07	5	21.2	30	4.00	37.50
SF	Tobias Harris	36.78	$7,200.00	PHI	CHA	33.1	4.60	35.4	4.92	23	23.2	34.25	4.76	36.00
SG	Victor Oladipo	36.17	$7,200.00	IND	NY	31.1	4.32	34.6	4.81	23	24.2	32.85	4.56	36.00
PG	Terry Rozier	31.48	$7,100.00	CHA	PHI	26.2	3.69	29.2	4.11	4	26.6	27.7	3.90	35.50
PF	John Collins	33.18	$7,000.00	ATL	CLE	37.1	5.30	35.8	5.11	6	23.5	36.45	5.21	35.00
SF	Larry Nance	33.70	$6,800.00	CLE	ATL	42	6.18	41.3	6.07	30	12.4	41.65	6.13	34.00
SG	Collin Sexton	35.90	$6,800.00	CLE	ATL	34.9	5.13	36.7	5.40	25	25.5	35.8	5.26	34.00
PG	Lonzo Ball	28.62	$6,500.00	NO	TOR	29.2	4.49	29.8	4.58	17	21.7	29.5	4.54	32.50
SF	OG Anunoby	31.23	$6,500.00	TOR	NO	27	4.15	28.8	4.43	17	13.9	27.9	4.29	32.50
PF	Aaron Gordon	23.80	$6,400.00	ORL	OKC	28.9	4.52	30.1	4.70	9	21.1	29.5	4.61	32.00
SG	Alec Burks	33.23	$6,200.00	NY	IND	0	0.00	29.8	4.81	21	24.6	14.9	2.40	31.00
C	Clint Capela	27.30	$6,100.00	ATL	CLE	30.7	5.03	25.8	4.23	21	15.7	28.25	4.63	30.50
C	Steven Adams	29.56	$6,000.00	NO	TOR	29.4	4.90	31.8	5.30	7	12.1	30.6	5.10	30.00
SF	RJ Barrett	29.88	$5,900.00	NY	IND	31.4	5.32	31.4	5.32	6	23.6	31.4	5.32	29.50
C	Chris Boucher	25.88	$5,900.00	TOR	NO	22	3.73	21.6	3.66	15	23.4	21.8	3.69	29.50
SG	Devonte Graham	26.74	$5,900.00	CHA	PHI	27.3	4.63	23.8	4.03	18	18	25.55	4.33	29.50
PF	PJ Washington	24.22	$5,900.00	CHA	PHI	25.8	4.37	24.9	4.22	7	23	25.35	4.30	29.50
PG	Markelle Fultz	30.78	$5,800.00	ORL	OKC	31.5	5.43	33.5	5.78	2	26.5	32.5	5.60	29.00
PF	Kevin Love	20.45	$5,700.00	CLE	ATL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28.50
PF	Darius Bazley	23.17	$5,500.00	OKC	ORL	25.6	4.65	23.4	4.25	13	18.3	24.5	4.45	27.50
PG	George Hill	24.43	$5,500.00	OKC	ORL	20.4	3.71	19.6	3.56	19	20.6	20	3.64	27.50
C	Al Horford	26.27	$5,400.00	OKC	ORL	29.8	5.52	31.2	5.78	12	13.8	30.5	5.65	27.00
SF	Bogdan Bogdanovic	24.38	$5,400.00	ATL	CLE	24.9	4.61	25.5	4.72	28	18.3	25.2	4.67	27.00
SG	Terrence Ross	26.23	$5,400.00	ORL	OKC	26.7	4.94	30.6	5.67	4	26	28.65	5.31	27.00
SF	Evan Fournier	22.12	$5,300.00	ORL	OKC	0	0.00	21	3.96	29	20.8	10.5	1.98	26.50
PG	LaMelo Ball	24.88	$5,300.00	CHA	PHI	17.7	3.34	24.2	4.57	4	23.3	20.95	3.95	26.50
C	Mitchell Robinson	24.42	$5,200.00	NY	IND	25.2	4.85	26.4	5.08	27	10.9	25.8	4.96	26.00
