Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	Defense PPG to Pos	USG%	Final Proj	Final Value	PTS for 5x value	Minutes
PF	Giannis Antetokounmpo	52.19	$11,400.00	MIL	DET	53.70	4.71	53.4	4.68	28	33.5	53.55	4.70	57.00	
SG	James Harden	54.83	$11,200.00	HOU	IND	52.90	4.72	47	4.20	21	33.8	49.95	4.46	56.00	
PG	Russell Westbrook	50.54	$10,700.00	WAS	PHI	49.90	4.66	46.2	4.32	4	30	48.05	4.49	53.50	
SG	Bradley Beal	47.21	$10,000.00	WAS	PHI	41.70	4.17	40.6	4.06	18	34.7	41.15	4.12	50.00	
PG	Stephen Curry	48.27	$10,000.00	GS	LAC	45.80	4.58	39	3.90	11	29	42.4	4.24	50.00	
C	Joel Embiid	47.97	$9,900.00	PHI	WAS	53.80	5.43	48.2	4.87	29	27.4	51	5.15	49.50	
SF	Kawhi Leonard	48.42	$9,600.00	LAC	GS	46.20	4.81	44.5	4.64	14	30.6	45.35	4.72	48.00	
C	Andre Drummond	45.51	$9,500.00	CLE	ORL	46.40	4.88	46.2	4.86	12	29.4	46.3	4.87	47.50	
PG	Trae Young	44.54	$9,400.00	ATL	CHA	46.00	4.89	51.3	5.46	28	34.9	48.65	5.18	47.00	
SF	Jayson Tatum	45.15	$9,400.00	BOS	MIA	44.70	4.76	42.1	4.48	7	30.6	43.4	4.62	47.00	
PF	Christian Wood	45.40	$9,100.00	HOU	IND	37.80	4.15	40.1	4.41	3	25.8	38.95	4.28	45.50	
SG	Paul George	42.00	$9,000.00	LAC	GS	44.20	4.91	41.1	4.57	27	31.5	42.65	4.74	45.00	
PF	Julius Randle	45.14	$9,000.00	NY	UTA	46.20	5.13	44.6	4.96	19	26.1	45.4	5.04	45.00	
SF	Brandon Ingram	43.43	$8,800.00	NO	OKC	38.40	4.36	40.1	4.56	29	30.6	39.25	4.46	44.00	
PF	Domantas Sabonis	44.90	$8,800.00	IND	HOU	43.10	4.90	37	4.20	20	29	40.05	4.55	44.00	
PG	Ben Simmons	40.33	$8,700.00	PHI	WAS	44.00	5.06	41.7	4.79	29	20.2	42.85	4.93	43.50	
C	Nikola Vucevic	43.77	$8,700.00	ORL	CLE	43.00	4.94	41.3	4.75	21	24.6	42.15	4.84	43.50	
C	Bam Adebayo	38.27	$8,600.00	MIA	BOS	39.10	4.55	41.7	4.85	10	23.9	40.4	4.70	43.00	
PG	John Wall	39.43	$8,500.00	HOU	IND	36.70	4.32	35	4.12	3	29.2	35.85	4.22	42.50	
SG	Donovan Mitchell	33.86	$8,200.00	UTA	NY	35.20	4.29	34.6	4.22	23	31.6	34.9	4.26	41.00	
C	Rudy Gobert	39.01	$8,200.00	UTA	NY	38.90	4.74	35.4	4.32	16	18.6	37.15	4.53	41.00	
PG	Malcolm Brogdon	42.10	$8,200.00	IND	HOU	36.20	4.41	33.6	4.10	8	22.6	34.9	4.26	41.00	
SF	Jimmy Butler	28.50	$8,100.00	MIA	BOS	38.10	4.70	36.8	4.54	10	23.9	37.45	4.62	40.50	
SG	Zach LaVine	38.36	$8,100.00	CHI	SAC	38.90	4.80	39.4	4.86	10	30.1	39.15	4.83	40.50	
SG	Fred VanVleet	41.85	$8,000.00	TOR	PHO	36.70	4.59	31.9	3.99	2	24.3	34.3	4.29	40.00	
SG	Jaylen Brown	40.99	$8,000.00	BOS	MIA	35.80	4.48	36.7	4.59	8	29.2	36.25	4.53	40.00	
SF	Tobias Harris	39.10	$7,900.00	PHI	WAS	37.20	4.71	39	4.94	19	23.2	38.1	4.82	39.50	
PF	Zion Williamson	34.83	$7,900.00	NO	OKC	38.10	4.82	35.5	4.49	9	28.1	36.8	4.66	39.50	
PG	DeAaron Fox	39.20	$7,800.00	SAC	CHI	40.70	5.22	41.5	5.32	24	28.3	41.1	5.27	39.00	
SF	Gordon Hayward	35.90	$7,700.00	CHA	ATL	35.60	4.62	36.7	4.77	30	23.2	36.15	4.69	38.50	
SF	Khris Middleton	38.54	$7,700.00	MIL	DET	38.00	4.94	38.6	5.01	27	24.2	38.3	4.97	38.50	
SG	Devin Booker	31.33	$7,600.00	PHO	TOR	35.50	4.67	32.7	4.30	3	29.7	34.1	4.49	38.00	
PF	Pascal Siakam	33.08	$7,500.00	TOR	PHO	37.20	4.96	33	4.40	8	24.8	35.1	4.68	37.50	
SG	Shai Gilgeous-Alexander	33.40	$7,500.00	OKC	NO	38.70	5.16	34.1	4.55	9	27.7	36.4	4.85	37.50	
PG	Kyle Lowry	36.40	$7,500.00	TOR	PHO	36.80	4.91	36.6	4.88	21	22.2	36.7	4.89	37.50	
C	Myles Turner	34.97	$7,400.00	IND	HOU	28.50	3.85	35.1	4.74	26	18.8	31.8	4.30	37.00	
SF	Jerami Grant	37.94	$7,300.00	DET	MIL	28.60	3.92	31	4.25	3	25.6	29.8	4.08	36.50	
PG	Chris Paul	32.94	$7,300.00	PHO	TOR	34.70	4.75	36.4	4.99	16	22.2	35.55	4.87	36.50	
C	Deandre Ayton	32.50	$7,200.00	PHO	TOR	33.90	4.71	31.8	4.42	7	19.7	32.85	4.56	36.00	
SG	Victor Oladipo	37.10	$7,200.00	IND	HOU	31.90	4.43	33.9	4.71	1	25.4	32.9	4.57	36.00	
PG	Jrue Holiday	34.87	$7,200.00	MIL	DET	33.10	4.60	37.2	5.17	20	18.7	35.15	4.88	36.00	
PG	Terry Rozier	31.99	$7,100.00	CHA	ATL	30.40	4.28	27.4	3.86	5	25.2	28.9	4.07	35.50	
SG	Collin Sexton	35.54	$7,100.00	CLE	ORL	36.00	5.07	35.6	5.01	15	25.9	35.8	5.04	35.50	
SF	Larry Nance	32.26	$7,000.00	CLE	ORL	30.30	4.33	35.4	5.06	20	12	32.85	4.69	35.00	
PG	Mike Conley	31.90	$7,000.00	UTA	NY	28.60	4.09	29.1	4.16	26	24	28.85	4.12	35.00	
PG	LaMelo Ball	29.09	$6,900.00	CHA	ATL	23.50	3.41	27.6	4.00	5	23.8	25.55	3.70	34.50	
PF	John Collins	31.90	$6,800.00	ATL	CHA	38.40	5.65	34.3	5.04	30	21.9	36.35	5.35	34.00	
C	Thomas Bryant	31.20	$6,800.00	WAS	PHI	29.40	4.32	29.6	4.35	2	19.3	29.5	4.34	34.00	
PG	Darius Garland	32.67	$6,600.00	CLE	ORL	0.00	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	33.00	#N/A
C	Clint Capela	31.70	$6,500.00	ATL	CHA	36.60	5.63	39.1	6.02	25	16.4	37.85	5.82	32.50	
SF	RJ Barrett	33.80	$6,500.00	NY	UTA	33.60	5.17	29.4	4.52	13	22.8	31.5	4.85	32.50	
PG	Lonzo Ball	29.01	$6,500.00	NO	OKC	28.20	4.34	29.2	4.49	2	19.8	28.7	4.42	32.50	
SG	Andrew Wiggins	30.77	$6,500.00	GS	LAC	30.50	4.69	28.6	4.40	20	24.7	29.55	4.55	32.50	
PF	Aaron Gordon	27.26	$6,400.00	ORL	CLE	27.30	4.27	31.1	4.86	6	22.6	29.2	4.56	32.00	
PF	Lauri Markkanen	28.48	$6,400.00	CHI	SAC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	32.00	#N/A
C	Mason Plumlee	30.49	$6,300.00	DET	MIL	27.80	4.41	22.3	3.54	28	12.1	25.05	3.98	31.50	
PF	Blake Griffin	29.17	$6,300.00	DET	MIL	28.80	4.57	26.7	4.24	1	20.4	27.75	4.40	31.50	
C	Richaun Holmes	27.90	$6,300.00	SAC	CHI	29.60	4.70	28.5	4.52	30	15	29.05	4.61	31.50	
PF	Chris Boucher	28.78	$6,200.00	TOR	PHO	28.10	4.53	24.8	4.00	20	22.9	26.45	4.27	31.00	
PG	Coby White	28.89	$6,200.00	CHI	SAC	25.30	4.08	28.8	4.65	25	23.1	27.05	4.36	31.00	
SF	Harrison Barnes	31.99	$6,100.00	SAC	CHI	26.90	4.41	27	4.43	4	18.8	26.95	4.42	30.50	
PG	Goran Dragic	24.95	$6,100.00	MIA	BOS	23.00	3.77	22.8	3.74	9	27.4	22.9	3.75	30.50	
PF	Darius Bazley	27.95	$6,000.00	OKC	NO	30.30	5.05	27.3	4.55	15	18.5	28.8	4.80	30.00	
C	Steven Adams	28.84	$6,000.00	NO	OKC	29.10	4.85	27.3	4.55	17	13.7	28.2	4.70	30.00	
SG	Derrick Rose	30.08	$6,000.00	DET	MIL	29.90	4.98	27.1	4.52	19	30.5	28.5	4.75	30.00	
SF	DeAndre Hunter	28.77	$6,000.00	ATL	CHA	21.30	3.55	24.3	4.05	23	16.9	22.8	3.80	30.00	
PG	Marcus Smart	30.81	$5,900.00	BOS	MIA	28.90	4.90	30.3	5.14	12	17	29.6	5.02	29.50	
PG	Kemba Walker	34.20	$5,900.00	BOS	MIA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	29.50	#N/A
SG	Alec Burks	33.23	$5,800.00	NY	UTA	0.00	0.00	25.8	4.45	5	24.9	12.9	2.22	29.00	
SF	Eric Gordon	31.33	$5,800.00	HOU	IND	20.90	3.60	22.7	3.91	6	27.7	21.8	3.76	29.00	
PG	Markelle Fultz	29.07	$5,800.00	ORL	CLE	32.70	5.64	32.5	5.60	30	24.8	32.6	5.62	29.00	
SF	OG Anunoby	27.72	$5,800.00	TOR	PHO	25.20	4.34	25.3	4.36	8	14.9	25.25	4.35	29.00	
PF	Kevin Love	20.45	$5,700.00	CLE	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	28.50	#N/A
SF	Otto Porter	28.34	$5,600.00	CHI	SAC	31.70	5.66	31.7	5.66	24	21.8	31.7	5.66	28.00	
PG	George Hill	22.80	$5,600.00	OKC	NO	23.20	4.14	22.7	4.05	23	19	22.95	4.10	28.00	
SG	Terrence Ross	28.63	$5,500.00	ORL	CLE	24.40	4.44	26.2	4.76	26	25.9	25.3	4.60	27.50	
SF	Mikal Bridges	28.40	$5,500.00	PHO	TOR	27.50	5.00	30.1	5.47	15	14.2	28.8	5.24	27.50	
C	Mitchell Robinson	27.11	$5,500.00	NY	UTA	25.50	4.64	29.4	5.35	5	11.8	27.45	4.99	27.50	
SG	Tyler Herro	28.10	$5,400.00	MIA	BOS	24.50	4.54	25.1	4.65	11	20.7	24.8	4.59	27.00	
SF	Evan Fournier	22.12	$5,300.00	ORL	CLE	26.10	4.92	27.8	5.25	28	20.8	26.95	5.08	26.50	
SG	Eric Bledsoe	24.71	$5,300.00	NO	OKC	28.30	5.34	28.4	5.36	4	18.3	28.35	5.35	26.50	
SG	Jordan Clarkson	24.11	$5,300.00	UTA	NY	23.60	4.45	23.6	4.45	23	28.2	23.6	4.45	26.50	
